"","X1ha.Plot.Number","Sampling.Period","Site.Name","siteyear","richness","shannon","berger","wd.nbsp","wd.sing.sp","wd.FEve","wd.FDis","wd.RaoQ","wd.wd","PD","SR","TEAM_mpd","TEAM_mpd_with_abundance","TEAM_mntd","phy_ent","TEAM_mntd_with_abundance","Species","D","Dstar","Lambda","Dplus","sd.Dplus","SDplus","ED","EDstar","EDplus","PlotBiomass.kg","PlotCarbon.tonnes","Reserve_size.sqkm","Continent","Country","Precip_mean.mm","Precip_CV","Elevation","Distance_to_forest_edge","Latitude","Longitude","Annual_Evapotranspiration"
"44","VG-BCI-1",2011.01,"Barro Colorado Nature Monument - Soberania National Park","VG-BCI-1 2011.01",76,3.47940861,0.20915033,76,76,0.419114744718792,0.63415285985533,0.699500838924911,0.620699958444509,8667.467567,72,494.224971722222,496.945961462274,168.303165347222,3.21121663202002,207.550886239468,72,484.330103055649,519.995738322721,14958.6522114691,524.198859343897,10.419949278487,37742.3178727606,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","VG-BCI-1",2012.01,"Barro Colorado Nature Monument - Soberania National Park","VG-BCI-1 2012.01",75,3.46158252,0.20224719,75,75,0.414810239043064,0.636854997257199,0.711037562929384,0.622004036596936,8643.393493,71,495.228463304628,496.812528079091,170.334561,3.20630926540685,210.847136487414,71,487.889635067558,523.191584393458,14932.0730311075,525.337196137626,10.5011074022828,37298.9409257714,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","VG-BCI-1",2013.01,"Barro Colorado Nature Monument - Soberania National Park","VG-BCI-1 2013.01",75,3.41078734,0.22246696,75,75,0.415192400653168,0.616928928833817,0.666113316914298,0.625270275677613,8643.393493,71,495.228463304628,495.807196879266,170.334561,3.16237354892436,210.599162858744,71,482.999345007447,522.300148219575,14932.0730311075,525.337196137626,10.5011074022828,37298.9409257714,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","VG-BCI-1",2014.01,"Barro Colorado Nature Monument - Soberania National Park","VG-BCI-1 2014.01",77,3.47604645,0.20132743,77,77,0.39359644860601,0.647748474051601,0.743349856391563,0.622472942585479,8735.175903,73,493.063403813546,497.06843751255,166.92515409589,3.16313820478126,211.28742172973,73,487.593506411235,523.351072285305,15013.9803019968,525.831489059361,10.3404707270352,38385.6987013333,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","VG-BCI-1",2015.01,"Barro Colorado Nature Monument - Soberania National Park","VG-BCI-1 2015.01",77,3.44855707,0.21333333,77,77,0.408296700493022,0.645377881560174,0.742570803212241,0.624675320959192,8676.495337,73,493.658843090563,496.48931304444,165.317467369863,3.18874442360457,212.633456368778,73,484.23099481882,521.989990001626,14798.3183185318,526.758144072298,10.3404707270352,38453.3445172778,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","VG-BCI-2",2011.01,"Barro Colorado Nature Monument - Soberania National Park","VG-BCI-2 2011.01",78,3.59666697,0.15090909,78,78,0.428206621315915,0.671903531491271,0.759034907488488,0.591499301970847,8293.517926,75,488.43039573982,492.517273869607,143.79733272,3.24553046590379,157.022580042672,75,492.572688051741,517.87138246737,16677.5185895759,517.206836489369,10.1863217871146,38790.5127367027,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","VG-BCI-2",2012.01,"Barro Colorado Nature Monument - Soberania National Park","VG-BCI-2 2012.01",66,3.42605883,0.18818381,66,66,0.43683201124019,0.653107064872034,0.690233880727576,0.599240853015242,7401.427435,65,490.873258194231,488.110140615994,145.528931723077,3.09507352056847,150.77359990708,65,483.577349670928,515.312287034459,16491.708694104,520.971344508654,11.0269970636767,33863.1373930625,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","VG-BCI-2",2013.01,"Barro Colorado Nature Monument - Soberania National Park","VG-BCI-2 2013.01",62,3.34438958,0.20045045,62,62,0.43042636889783,0.64405980598751,0.661933073525957,0.600091870558482,7110.182881,61,493.190623820765,486.065472508079,147.070485081967,3.03029431972869,156.198192468182,61,479.681149972065,514.505352601557,17234.3290864831,520.491143746448,11.4203234794353,31749.9597685333,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","VG-BCI-2",2014.01,"Barro Colorado Nature Monument - Soberania National Park","VG-BCI-2 2014.01",63,3.37564264,0.18850575,63,63,0.438285554285755,0.634630297302483,0.646141909189329,0.603283711817408,7255.881176,62,492.311366481756,485.524427973514,149.341699354839,3.02595306548277,157.797200438515,62,481.001534652492,514.395793935816,16727.7215442644,521.422419465362,11.3183903495321,32328.1900068525,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","VG-BCI-2",2015.01,"Barro Colorado Nature Monument - Soberania National Park","VG-BCI-2 2015.01",64,3.34356616,0.20594966,64,64,0.43651659916706,0.636032930709402,0.649139974857915,0.604296581351425,7368.226857,63,491.983996301075,484.922340097094,149.518717428571,3.0455287087605,156.813624351039,63,478.135149364148,513.698830019988,16687.1075061563,520.751880587814,11.2189236934652,32807.3684770323,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
